formula,target
(Al18.6Fe34.2Co23.6Ni23.6)97.3C2.7,1202.0
(CoCrCuFeNi)84V16,616.0
(CoCrCuFeNi)88V12,330.0
(CoCrCuFeNi)92V8,307.0
(CoCrCuFeNi)96V4,303.0
(CoCrFeMnNi)84Mo16,765.0
(CoCrFeMnNi)88Mo12,560.0
(CoCrFeMnNi)92Mo8,330.0
(CoCrFeMnNi)96Mo4,225.0
(CoCrFeMnNi)98C2,446.0
(CoNi)80Cr20,330.0
(CuMnNi)75Zn25,215.0
(CuMnNi)80Zn20,140.0
(CuMnNi)90Al10,515.0
(CuMnNi)90Sn10,630.0
(CuMnNi)95Al5,330.0
(CuMnNi)95Sn5,380.0
(Fe40.4Ni11.3Mn34.8Al7.5Cr6)98.9C1.1,355.0
Al0.1CoCrFeNi,356.0
Al0.20CoCrFeMnNi,220.0
Al0.24NbTiVZr,1240.0
Al0.25CoCrCu0.75FeNiTi0.5,750.0
Al0.25CoFeNi,158.0
Al0.25MoNbTiV,1250.0
Al0.25NbTaTiV,1330.0
Al0.25NbTaTiZr,1745.0
Al0.2MoTaTiV,1021.0
Al0.38CoCrFeMnNi,244.0
Al0.3CoCrFeNi,143.0
Al0.3Cu0.5FeCrNi2,62.0
Al0.3HfNbTaTiZr,1188.0
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,1965.0
Al0.3NbTaTi1.4Zr1.3,1965.0
Al0.43CoCrFeMnNi,285.0
Al0.49CoCrFeMnNi,331.0
Al0.4FeCrCo1.5NiTi0.3,2012.0
Al0.4Hf0.6NbTaTiZr,1841.0
Al0.56CoCrFeMnNi,526.0
Al0.5CoCrCu0.5FeNiTi0.5,1580.0
Al0.5CoCrCuFeNi,388.0
Al0.5CoCrFeNiTi0.5,1100.0
Al0.5CoFeNi,346.0
Al0.5CrFeMnNi,1091.0
Al0.5CrNbTi2V0.5,1240.0
Al0.5HfNbTaTiZr,1302.0
Al0.5Mo0.5NbTa0.5TiZr,2350.0
Al0.5MoNbTiV,1625.0
Al0.5NbTa0.8Ti1.5V0.2Zr,2035.0
Al0.5NbTaTiV,1014.0
Al0.62CoCrFeMnNi,833.0
Al0.6CrFeMnNi,1130.0
Al0.6MoTaTiV,962.0
Al0.75CoCrCu0.25FeNiTi0.5,1900.0
Al0.75CoFeNi,794.0
Al0.75HfNbTaTiZr,1415.0
Al0.75MoNbTiV,1260.0
Al0.7Co0.3CrFeNi,2033.0
Al0.7CrFeMnNi,1170.0
Al0.8CoCrFeNiTi0.2,968.0
Al0.8CoCrFeNiTi1.2,1272.0
Al0.8CrFeMnNi,1200.0
Al1.125CuFe0.75NiTi1.125,980.0
Al1.2CoCrFeNiTi0.8,1503.0
Al1.5CoCrFeNiTi0.5,1566.0
Al1.8CoCrFeNiTi0.2,1324.0
Al10Co25Cr8Fe15Ni36Ti6,520.0
Al10Cr12Fe35Mn23Ni20,320.0
Al11.1(CoCrCuFeMnNiTiV)88.9,1862.0
Al12Co18Cr18Fe35Ni18,866.0
Al15Li35Mg35Ca10Si5,418.0
Al15Li38Mg45Ca0.5Si1.5,342.0
Al15Li38Mg48Ca1 Si1,360.0
Al15Li39Mg45Ca0.5Si0.5,300.0
Al16Co16Cr16Fe16Ni34.4,545.0
Al16Co16Cr16Fe16Ni35.5,545.0
Al16Cr16Co16Fe16Ni34.4,545.0
Al16Cr16Co16Fe16Ni35.5,545.0
Al17Co17Cr17Fe17Ni33.3,545.0
Al17Cr17Co17Fe17Ni33.3,545.0
Al17Cr17Fe33Ni33,796.0
Al19.9Li30Mg35Si10Ca5Y0.1,556.0
Al20(CoCrCuFeMnNiTiV)80,1465.0
Al22.5Cu20Fe15Ni20Ti22.5,980.0
Al23Cr26Fe26Ni26,770.0
Al27Cr24Fe24Ni24,1044.0
Al29Cr24Fe24Ni24,906.8
Al2CoCrCuFeNi,1620.0
Al2CoCrFeNi,1241.0
Al30Cr23Fe23Ni23,1122.8
Al40(CoCrCuFeMnNiTiV)60,1461.0
Al4Co19Cr19Cu4Fe19Ni37,460.0
Al4Co24Cr24Fe24Ni24Ti2,210.0
Al5Cr12Fe35Mn28Ni20,280.0
Al65Cu5Mg5Si15Zn5Cr5,490.0
Al65Cu5Mg5Si15Zn5Fe5,422.0
Al65Cu5Mg5Si15Zn5Mn5,622.0
Al65Cu5Mg5Si15Zn5Ni5,534.0
Al65Cu5Mg5Si15Zn5Zr5,565.0
Al7Co23Cr23Fe23Ni23,159.0
Al8Co17Cr17Cu8Fe17Ni33,215.0
Al8Cu0.5Li0.5Mg0.5Zn0.5,488.0
Al8Li0.5Mg0.5Sn0.5Zn0.5,415.0
Al9Co18Cr18Cu18Fe18Ni18,650.0
AlC0.1CoCrFeNi,957.0
AlC0.2CoCrFeNi,906.0
AlC0.3CoCrFeNi,867.0
AlC0.4CoCrFeNi,1056.0
AlC0.5CoCrFeNi,1060.0
AlC1.5CoCrFeNi,1255.0
AlCCoCrFeNi,1251.0
AlCo0.25CrFeNi,1363.0
AlCo0.5CrFeNi,1349.0
AlCo0.75CrFeNi,1331.0
AlCoCrCuFeMnNi,1005.0
AlCoCrCuFeNi,790.0
AlCoCrCuFeNiTi,1234.0
AlCoCrCuFeNiV,1469.0
AlCoCrFeMo0.1Ni,1804.0
AlCoCrFeMo0.2Ni,2456.0
AlCoCrFeMo0.3Ni,2649.0
AlCoCrFeMo0.4Ni,2670.0
AlCoCrFeMo0.5Ni,2757.0
AlCoCrFeNb0.1Ni,1641.0
AlCoCrFeNb0.25Ni,1959.0
AlCoCrFeNb0.5Ni,2473.0
AlCoCrFeNi,520.0
AlCoCrFeNi2.1,1154.0
AlCoCrFeNiSi,2411.0
AlCoCrFeNiSi0.2,1265.0
AlCoCrFeNiSi0.4,1481.0
AlCoCrFeNiSi0.6,1834.0
AlCoCrFeNiSi0.8,2179.0
AlCoCrFeNiTi,1448.0
AlCoCrFeNiTi0.5,2260.0
AlCoCrFeNiTi1.5,2220.0
AlCoCrNi,1750.0
AlCoCuFeNi,994.0
AlCoCuFeNi0.5,929.0
AlCoCuFeNi0.8,1021.0
AlCoCuFeNi1.5,680.0
AlCoCuFeNi2,544.0
AlCoCuFeNi3,268.0
AlCoCuFeNiCr,1285.0
AlCoCuFeNiCrTi,1523.0
AlCoCuFeNiTi,1612.0
AlCoFeNi,964.0
AlCr0.5NbTiV,1300.0
AlCr1.5NbTiV,1700.0
AlCrFeCoNi,1209.0
AlCrFeNi,843.2
AlCrFeNiMo0.2,1487.0
AlCrFeNiMo0.5,1749.0
AlCrFeNiMo0.5Ti0.25,2161.7
AlCrFeNiMo0.5Ti0.4,2185.1
AlCrFeNiMo0.5Ti0.5,2228.7
AlCrFeNiMo0.5Ti0.6,1314.5
AlCrFeNiMo0.5Ti0.75,618.8
AlCrFeNiMo0.8,1513.0
AlCrMoNbTi,1010.0
AlCrMoTi,1100.0
AlCrNbTiV,1550.0
AlCuCrFeMn,1010.0
AlCuCrFeMnW0.05,1120.0
AlCuCrFeMnW0.1,1250.0
AlCuCrFeMnW0.5,1510.0
AlCuFeNiTi,1074.0
AlCuNiFeCr,1511.0
AlCuNiTi,300.0
AlHfNbTaTiZr,1489.0
AlLi0.5MgSn0.2Zn0.5,546.0
AlLiMgSnZn,600.0
AlMo0.5NbTa0.5TiZr,2000.0
AlMoNbTi,1100.0
AlMoNbTiV,1375.0
AlNb1.5Ta0.5Ti1.5Zr0.5,1280.0
AlNbTa0.5TiZr0.5,1352.0
AlNbTaTi,1152.0
AlNbTaTiV,993.0
AlNbTiV,1000.0
AlNbTiVZr,1500.0
AlNbTiVZr0.1,1290.0
AlNbTiVZr0.25,1360.0
AlNbTiVZr0.5,1480.0
AlNbTiVZr1.5,1535.0
AlNbTiZr,1080.0
Co0.2Cr0.2Fe0.2Mn0.2Ni0.2,386.2
Co0.5CrFeNi1.5Ti0.3,586.0
Co10Cr10Fe50Mn30,250.0
Co17.5Cr12.5Fe55Ni10Mo5,231.0
Co17Cr17Fe17Mn17Ni17V13,780.0
Co18Cr12.5Fe55Ni7Mo7.5,296.0
Co18Cr18Fe18Mn18Ni18V9,620.0
Co19Cr19Fe19Mn19Ni19V5,200.0
Co20(CrNi)80,356.0
Co20.6Cr19.9Fe19.5Ni20.9Mn19.1,270.0
Co23Cr23Fe23Ni23Mo7,305.3
Co24Cr24Fe24Ni24Mo2,198.8
Co24Cr24Fe24Ni24Mo5,254.7
Co25Cr25(FeNi)50,214.0
Co25Cr25Fe25Ni25,155.0
Co30Cr10Fe10Al18Ni29Mo3,1198.3
Co30Cr10Fe10Al18Ni30Mo2,1250.8
Co30Cr10Fe10Al18Ni31Mo1,1159.7
Co30Cr10Fe10Al18Ni32,1129.4
Co35Cr15Fe20Ni20Mo10,350.0
Co35Cr25(FeNi)40,241.0
Co45Cr25(FeNi)30,299.0
Co55Cr25(FeNi)20,392.0
Co65Cr25(FeNi)10,482.0
CoCrCuFeMnNiTiV,1312.0
CoCrCuFeNi,230.0
CoCrCuFeNiTi,1272.0
CoCrCuFeNiTi0.5,700.0
CoCrCuFeNiTi0.8,1042.0
CoCrFeMn,338.0
CoCrFeMnNi,208.0
CoCrFeMnNiV,1700.0
CoCrFeMnNiV0.25,200.0
CoCrFeMnNiV0.5,620.0
CoCrFeMnNiV0.75,740.0
CoCrFeMnNiV1.0,1660.0
CoCrFeNb0.103Ni,318.0
CoCrFeNb0.155Ni,322.0
CoCrFeNb0.206Ni,403.0
CoCrFeNb0.309Ni,479.0
CoCrFeNb0.412Ni,638.0
CoCrFeNi,148.0
CoCrFeNi2.1Nb0.2,170.0
CoCrFeNi2.1Nb0.4,640.0
CoCrFeNiMo0.15,489.0
CoCrFeNiMo0.2,400.0
CoCrFeNiPdMn0.2,650.0
CoCrFeNiPdMn0.4,650.0
CoCrFeNiPdMn0.6,650.0
CoCrFeNiPdMn0.8,650.0
CoCrFeNiTi0.3,540.0
CoCrFeNiW0.2,335.0
CoCrFeNiW0.5,556.0
CoCrMnNi,282.0
CoCrNi,300.0
CoCrNiCuZn,2121.0
CoFeMnNi,170.0
CoFeNi,204.0
CoFeNi2V0.5Mo0.2,252.0
CoFeNiSi0.25,196.0
CoFeNiSi0.5,476.0
CoFeNiSi0.75,1301.0
CoMnNi,231.0
CoNiFe,201.0
Cr03NbTiZr,1576.0
Cr19.68Mn19.68Fe19.68Co19.68Ni19.68Nb0.8C0.8,732.0
Cr20Fe6Co34Ni34Mo6,309.0
CrCoNi,346.0
CrFeNi2.1Al0.9,610.0
CrFeNi2.2Al0.8,479.0
CrFeNi2.3Al0.7,461.0
CrFeNi2.4Al0.6,441.0
CrFeNi2Al,774.0
CrFeNi2Ti0.3,672.0
CrFeNiTi0.2,2297.94
CrFeNiTi0.3,2364.63
CrFeNiTi0.4,2475.41
CrFeNiTi0.5,2380.79
CrFeNiTi0.6,1923.15
CrHfNbTiZr,1322.0
CrMnFeCoNi,210.0
CrMo0.5NbTa0.5TiZr,1595.0
CrMoTaTi,1795.0
CrNbMoTi,1630.0
CrNbTiVZr,1298.0
CrNbTiZr,1260.0
CrTaTi0.17VW,2034.0
CrTaTi0.3VW,2050.0
CrTaVW,2327.0
CuNi1.01Si0.28Co0.14Cr0.45,777.0
Fe40.4Ni11.3Mn34.8Al7.5Cr6,159.0
Fe40Mn25Cr20Ni15,219.0
Fe40Mn25Cr20Ni15Al10,994.0
Fe40Mn25Cr20Ni15Al14,942.0
Fe40Mn25Cr20Ni15Al2,354.0
Fe40Mn25Cr20Ni15Al6,550.0
Fe40Mn40Co10Cr10,213.0
FeCoCrNiMn,258.76
FeCoCrNiMnAl0.1,1631.0
FeCoCrNiMnAl0.3,1836.0
FeCoCrNiMnAl0.5,1932.0
FeCoCrNiMnAl0.7,2230.0
FeCoCrNiMnC0.5,520.9
FeCoCrNiMnC1,643.8
FeCoCrNiMnTi0.1C0.1,1194.0
FeCoNiCr0.2Si0.2,225.0
FeCoNiCrTi0.2,700.0
FeCoNiCuNb11.6,1703.0
FeCoNiCuNb15,1415.0
FeCoNiCuNb5,1498.0
FeCoNiCuNb7.5,1635.0
FeCrCoMnNi,210.0
FeCrCuMnNi,470.0
FeMnNi,221.0
Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,845.0
